artist,patternId,previewImage,palette,templateId
davidgav,2462838,http://colourlovers.com.s3.amazonaws.com/images/patterns/2462/2462838.png,CACAAC 115973 11718A FFFFFF 575757,181901
davidgav,2733824,http://colourlovers.com.s3.amazonaws.com/images/patterns/2733/2733824.png,81A6A2 656C73 A6A39C D9C7C5 F2C2C6,203528
davidgav,2727620,http://colourlovers.com.s3.amazonaws.com/images/patterns/2727/2727620.png,1CCAC6 F6DB60 7C7445 E38343 D7E343,164056
davidgav,2439668,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439668.png,C71C1C 700808 120A0A 000000 000000,178931
davidgav,2543698,http://colourlovers.com.s3.amazonaws.com/images/patterns/2543/2543698.png,140723 4F173E A85F68 ECD4BC,179457
davidgav,2439881,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439881.png,E01D1D F7B720 1A1B1C 454545,176987
davidgav,2439555,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439555.png,C71C1C 700808 120A0A 000000 000000,177655
davidgav,2991717,http://colourlovers.com.s3.amazonaws.com/images/patterns/2991/2991717.png,F2E8D8 83AF9B C8C8A9 FC9D9A 696969,254430
davidgav,2708005,http://colourlovers.com.s3.amazonaws.com/images/patterns/2708/2708005.png,635642 7FC2F5 E02D2D B81B12 A3937D,194579
davidgav,2439464,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439464.png,000000 29990E D92A2A 1B46D5 E9E628,95031
davidgav,2446410,http://colourlovers.com.s3.amazonaws.com/images/patterns/2446/2446410.png,FFFFFF EBEBEB CDC7D1 BFB5C7 B4A8BD,179965
davidgav,2442822,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442822.png,323130 B5AB71 FFE7A5 FFECC4,179479
davidgav,2446141,http://colourlovers.com.s3.amazonaws.com/images/patterns/2446/2446141.png,D8D1CA A99D98 9C948D 819CB2 324648,179927
davidgav,2442085,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442085.png,CEFFBF 7CEBC0 729E91 605B6B 422B2B,179193
davidgav,2439756,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439756.png,CCBCA2 B2B63D FDB71B F95E4C 3F2E1E,172642
davidgav,2981129,http://colourlovers.com.s3.amazonaws.com/images/patterns/2981/2981129.png,EDF1DA C7D4A6 F5B793 E8776B 6B5156,203528
davidgav,2547870,http://colourlovers.com.s3.amazonaws.com/images/patterns/2547/2547870.png,A6463D E8D089 C2B795 C9C2AB,179479
davidgav,2981196,http://colourlovers.com.s3.amazonaws.com/images/patterns/2981/2981196.png,EDF1DA C7D4A6 F5B793 E8776B 6B5156,2
davidgav,2446894,http://colourlovers.com.s3.amazonaws.com/images/patterns/2446/2446894.png,C1BE93 CEBF86 C2B340 CC3932 493D3D,180019
davidgav,2708000,http://colourlovers.com.s3.amazonaws.com/images/patterns/2708/2708000.png,C6AB80 E4BE6D D59F59 BC401E 794B3E,201922
davidgav,2441581,http://colourlovers.com.s3.amazonaws.com/images/patterns/2441/2441581.png,EAEAE8 D0CFCA B6A790 E52E2A 800603,173007
davidgav,2543695,http://colourlovers.com.s3.amazonaws.com/images/patterns/2543/2543695.png,CAB8A4 A4AD9D 7AA196 498B90 057389,none
davidgav,2991721,http://colourlovers.com.s3.amazonaws.com/images/patterns/2991/2991721.png,F2E8D8 83AF9B C8C8A9 FC9D9A 696969,254372
davidgav,2441594,http://colourlovers.com.s3.amazonaws.com/images/patterns/2441/2441594.png,FFFFFF 731111 99FF14 115973 1A272B,178890
