Feature,Kuler,ColorLovers,Mturk
 labStdDev-D3,1.56,-0.23,-0.39
 labMedian-D1,0.01,-0.04,0
 labMedian-D2,-0.33,-0.25,-0.21
 labMedian-D3,-0.02,0,0
 labMax-D1,1.55,0.62,0.76
 labMax-D2,0.06,0.05,0
 labMax-D3,0,0,-0.01
 labMin-D1,0,0,0
 labMin-D2,0.41,0.57,0
 labMin-D3,0.07,0.04,-0.21
 labMaxMinDiff-D1,0.13,0,0
 labMaxMinDiff-D2,0,0,0
 labMaxMinDiff-D3,-1.21,-0.26,0
 labPlaneNormal1,0.05,0.1,-0.02
 labPlaneNormal2,0,0.03,-0.01
 labPlaneNormal3,-0.06,-0.05,-0.01
 labPlaneVariance-D1,0,0,-0.09
 labPlaneVariance-D2,-0.01,-0.03,0
 labPlaneVariance-D3,0.01,-0.04,-0.02
 labSSE,-0.18,-0.5,0.01
 hsv-D1-C1,0,0,0.01
 hsv-D2-C1,-0.03,0,0
 hsv-D3-C1,0,0,0
 hsv-D1-C2,0,0.04,0
 hsv-D2-C2,0,-0.02,0
 hsv-D3-C2,0,0,0
 hsv-D1-C3,0.02,-0.03,-0.01
 hsv-D2-C3,0,0,0.01
 hsv-D3-C3,0,0,0
 hsv-D1-C4,-0.01,0,0
 hsv-D2-C4,0,-0.02,0.02
 hsv-D3-C4,0,0,0
 hsv-D1-C5,0.02,0,0.01
 hsv-D2-C5,0,0,0
 hsv-D3-C5,0,0,0
 hsvSorted-D1-C1,0.03,0.06,0.02
 hsvSorted-D2-C1,-0.05,-0.1,0.09
 hsvSorted-D3-C1,0,0,-0.43
 hsvSorted-D1-C2,0.02,0.01,0
 hsvSorted-D2-C2,-0.04,-0.12,0.08
 hsvSorted-D3-C2,-0.02,0,-0.52
 hsvSorted-D1-C3,0,-0.04,0
 hsvSorted-D2-C3,0,-0.03,0.04
 hsvSorted-D3-C3,-0.01,0,-0.16
 hsvSorted-D1-C4,-0.01,-0.07,-0.02
 hsvSorted-D2-C4,0.04,0,0
 hsvSorted-D3-C4,-0.04,0.15,0
 hsvSorted-D1-C5,-0.01,-0.11,-0.01
 hsvSorted-D2-C5,0.01,0,-0.05
 hsvSorted-D3-C5,0,0,0
 hsvDiff-D1-C1,0.03,0,0
